time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-20T15:32:12.080Z,18.8837,145.3841,237.98,4.5,mb,,87,5.287,0.92,us,us2000ive4,2018-12-20T17:10:18.040Z,"32km WNW of Agrihan, Northern Mariana Islands",earthquake,8.6,6.6,0.059,85,reviewed,us,us
2018-12-20T15:28:39.290Z,36.5276667,-89.5755,7.87,1.69,md,17,52,0.02926,0.05,nm,nm60222422,2018-12-20T18:31:31.060Z,"7km SSW of New Madrid, Missouri",earthquake,0.37,0.68,0.128,11,reviewed,nm,nm
2018-12-20T15:25:53.700Z,33.504,-116.7996667,4.79,0.32,ml,18,110,0.008367,0.15,ci,ci38400816,2018-12-20T19:06:09.940Z,"9km NE of Aguanga, CA",earthquake,0.25,0.56,0.108,3,reviewed,ci,ci
2018-12-20T15:18:19.901Z,61.3978,-150.0317,34.3,1.8,ml,,,,0.63,ak,ak20523891,2018-12-20T15:20:56.489Z,"14km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-20T15:13:13.950Z,36.6748352,-121.2926636,-0.08,1.84,md,14,145,0.06625,0.04,nc,nc73124631,2018-12-20T15:43:02.535Z,"13km S of Tres Pinos, CA",earthquake,0.37,1.06,0.29,13,automatic,nc,nc
2018-12-20T15:10:49.020Z,18.334,-65.9321,4,1.9,md,4,256,0.1535,0.09,pr,pr2018354008,2018-12-20T19:02:17.408Z,"3km W of Campo Rico, Puerto Rico",earthquake,0.94,0.46,0.46,4,reviewed,pr,pr
2018-12-20T15:08:20.490Z,61.5285,-149.9141,40.8,1.4,ml,,,,0.39,ak,ak20523889,2018-12-20T15:14:14.930Z,"2km ENE of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-12-20T15:06:32.061Z,63.0326,-150.4931,3,1.6,ml,,,,0.46,ak,ak20523887,2018-12-20T15:11:33.747Z,"81km NNW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-12-20T15:02:25.330Z,5.737,125.7951,116.47,4.6,mb,,53,1.341,1.05,us,us2000ivdu,2018-12-20T15:44:33.040Z,"26km SE of Caburan, Philippines",earthquake,7.5,5.9,0.066,68,reviewed,us,us
2018-12-20T14:48:25.610Z,17.905,-66.7178,17,1.78,md,5,245,0.176,0.17,pr,pr2018354009,2018-12-20T18:33:33.168Z,"9km S of Tallaboa, Puerto Rico",earthquake,1.27,1.65,0.13,3,reviewed,pr,pr
2018-12-20T14:45:24.130Z,39.1202,-119.7269,9.7,0.4,ml,4,129.42,0.071,0.1307,nn,nn00670985,2018-12-20T16:02:41.097Z,"5km SE of Carson City, Nevada",earthquake,,6,0,1,reviewed,nn,nn
2018-12-20T14:43:33.780Z,36.1183333,-117.5701667,2.73,1.48,ml,18,67,0.08915,0.17,ci,ci38400776,2018-12-20T15:02:38.620Z,"35km ENE of Coso Junction, CA",earthquake,0.33,0.71,0.193,23,reviewed,ci,ci
2018-12-20T14:42:59.924Z,39.1178,-119.722,9.1,0.6,ml,7,128.66,0.099,0.1829,nn,nn00670984,2018-12-20T18:49:16.816Z,"6km SE of Carson City, Nevada",earthquake,,3.2,0,1,reviewed,nn,nn
2018-12-20T14:37:22.779Z,61.4481,-150.0349,34.5,1.6,ml,,,,0.59,ak,ak20523883,2018-12-20T14:44:07.806Z,"9km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-20T14:34:29.780Z,33.5006667,-116.7975,2.91,1.46,ml,57,32,0.01191,0.2,ci,ci38400768,2018-12-20T15:02:42.760Z,"9km NE of Aguanga, CA",earthquake,0.18,0.54,0.165,27,reviewed,ci,ci
2018-12-20T14:31:23.500Z,33.5043333,-116.796,3.5,0.69,ml,27,61,0.008801,0.14,ci,ci38400760,2018-12-20T15:02:16.112Z,"9km NE of Aguanga, CA",earthquake,0.21,0.47,0.146,21,reviewed,ci,ci
